Column,Data Type,Unique Values
Age,int64,43
Attrition,str,2
BusinessTravel,str,3
DailyRate,int64,886
Department,str,3
DistanceFromHome,int64,29
Education,int64,5
EducationField,str,6
EmployeeCount,int64,1
EmployeeNumber,int64,1470
EnvironmentSatisfaction,int64,4
Gender,str,2
HourlyRate,int64,71
JobInvolvement,int64,4
JobLevel,int64,5
JobRole,str,9
JobSatisfaction,int64,4
MaritalStatus,str,3
MonthlyIncome,int64,1349
MonthlyRate,int64,1427
NumCompaniesWorked,int64,10
Over18,str,1
OverTime,str,2
PercentSalaryHike,int64,15
PerformanceRating,int64,2
RelationshipSatisfaction,int64,4
StandardHours,int64,1
StockOptionLevel,int64,4
TotalWorkingYears,int64,40
TrainingTimesLastYear,int64,7
WorkLifeBalance,int64,4
YearsAtCompany,int64,37
YearsInCurrentRole,int64,19
YearsSinceLastPromotion,int64,16
YearsWithCurrManager,int64,18
